task,horizon,primary_metric,rows,assets,dates,local_primary,global_primary,global_improvement_vs_local_pct,date_hac_statistic,date_hac_pvalue_global_better,date_hac_lags,mean_date_clustered_loss_advantage,bootstrap_repetitions,bootstrap_block_length_dates,bootstrap_improvement_mean_pct,bootstrap_improvement_ci_low_pct,bootstrap_improvement_ci_high_pct,bootstrap_probability_global_better,analysis_status,posthoc_hac_qvalue_across_configurations
classification,1,log_loss,12225,10,1260,0.6970770922904704,0.6943364436597733,0.3931629171304192,3.3987984393297763,0.0003384128798559205,0,0.0027180561026745147,10000,1,0.39462640135617966,0.1773532742823634,0.6093801338851483,0.9998,post_hoc_robustness_diagnostic,0.001353651519423682
classification,5,log_loss,12220,10,1260,0.6951166685746403,0.6893971602934169,0.8228127075346076,3.1538740847231383,0.0008055929298611542,4,0.0057318931229318115,10000,5,0.8180290118497616,0.33131815607280746,1.3198276671049824,0.9993,post_hoc_robustness_diagnostic,0.0016111858597223083
classification,10,log_loss,12220,10,1260,0.6992297821616349,0.6916495590238231,1.084081847082932,2.0607161192355323,0.019665065453153274,9,0.007507580776560708,10000,10,1.08871921313038,0.10144882547818734,2.075200806391295,0.985,post_hoc_robustness_diagnostic,0.019665065453153274
classification,20,log_loss,12220,10,1260,0.7084754047827814,0.6896313611940942,2.659802085079407,2.604344698196876,0.004602506371210957,19,0.018629558948948275,10000,20,2.6355057059699187,0.7534764239728688,4.523869353120647,0.9959,post_hoc_robustness_diagnostic,0.007364010193937532
regression,1,rmse,12225,10,1260,0.019004821286822855,0.01890296529813036,0.535948153130577,3.749987367125892,8.842173960310618e-05,0,3.979915076668891e-06,10000,1,0.5395641900083998,0.2490075767658575,0.8298753185540654,1.0,post_hoc_robustness_diagnostic,0.0007073739168248494
regression,5,rmse,12220,10,1260,0.04205288096210754,0.041677288670754466,0.8931428305506782,3.2560416485818346,0.0005648858896043496,4,3.2084901198423395e-05,10000,5,0.8920013736857936,0.38193788106049054,1.411269556589005,0.9997,post_hoc_robustness_diagnostic,0.0015063623722782655
regression,10,rmse,12220,10,1260,0.059958518411889566,0.0594758082671322,0.805073503386707,2.1232708457902736,0.016865581133392094,9,5.868242969942615e-05,10000,10,0.8027681244448228,0.07235063695908543,1.5415979976560283,0.9849,post_hoc_robustness_diagnostic,0.01927494986673382
regression,20,rmse,12220,10,1260,0.08664600460768024,0.08540068053581076,1.437255044255197,2.441854492808154,0.0073060173516655835,19,0.00021068650752815863,10000,20,1.4214433891501692,0.34546551796008423,2.5088500308399007,0.9946,post_hoc_robustness_diagnostic,0.009741356468887444
