task,horizon,assets,global_win_count,global_win_rate,mean_global_improvement_vs_local_pct,median_global_improvement_vs_local_pct,min_global_improvement_vs_local_pct,max_global_improvement_vs_local_pct,asset_level_hac_p_lt_0_05,asset_level_hac_fdr_q_lt_0_05,global_win_sign_test_p
classification,1,10,8,0.8,0.3886688743935772,0.42302327478631785,-0.7325271595786124,1.7689994021546362,4,3,0.0546875
classification,5,10,10,1.0,0.8197873234721872,0.9072782228216234,0.02072508038538088,1.9969384367137757,2,1,0.0009765625
classification,10,10,8,0.8,1.0692288280383075,1.0650551201191085,-0.8836703635919347,4.060900868249972,2,0,0.0546875
classification,20,10,9,0.9,2.572268439386913,1.7113519002247086,-0.21184018369215515,8.750326967398108,2,0,0.0107421875
regression,1,10,8,0.8,0.7551499301623837,0.32540685533963504,-0.23891826066117738,3.050698516721305,3,3,0.0546875
regression,5,10,9,0.9,0.9207298473555723,0.8665664654936207,-0.019050941468456525,1.9441413924508888,2,2,0.0107421875
regression,10,10,9,0.9,1.0450887599590255,0.9753272727243785,-0.019469586508390906,2.019386728738656,2,0,0.0107421875
regression,20,10,9,0.9,1.740335905161465,1.7405681043870869,-0.09557009689590146,3.9899453291030067,0,0,0.0107421875
