ticker,task,horizon,local_model,global_model,n,local_primary,global_primary,global_improvement_vs_local_pct,local_rmse,local_mae,local_directional_accuracy,global_rmse,global_mae,global_directional_accuracy,criterion,statistic,pvalue_two_sided,pvalue_global_better,hac_lags,qvalue_global_better,local_log_loss,local_brier,local_accuracy,global_log_loss,global_brier,global_accuracy
AAPL,regression,1,ridge,ridge,1226,0.017976839748992973,0.017923333469010944,0.29764007872977916,0.017976839748992973,0.012767325221939444,0.5138662316476346,0.017923333469010944,0.012685642474373014,0.499184339314845,mse,-0.960568075860149,0.3367693867436987,0.16838469337184936,1,0.250711145666685,,,,,,
BOVA11.SA,regression,1,ridge,ridge,1218,0.011715626224246274,0.011555803910707067,1.3641807145438303,0.011715626224246274,0.008906337529808671,0.48686371100164205,0.011555803910707067,0.00877426040979846,0.5139573070607554,mse,-3.6412296609410384,0.0002713389496173946,0.0001356694748087528,1,0.000678347374043764,,,,,,
ITUB4.SA,regression,1,ridge,ridge,1220,0.014907945814216502,0.014868761328410036,0.26284295834439214,0.014907945814216502,0.01135740747508733,0.49836065573770494,0.014868761328410036,0.011299616389215261,0.48032786885245904,mse,-0.935237474324267,0.34966592999080737,0.17483296499540363,1,0.250711145666685,,,,,,
JPM,regression,1,ridge,ridge,1225,0.015761116804263932,0.01554739692733803,1.3559944995019793,0.015761116804263932,0.01126461569689742,0.5289795918367347,0.01554739692733803,0.011066851411214438,0.5257142857142857,mse,-2.819968791450783,0.0048028320281225945,0.0024014160140612972,1,0.008004720046870991,,,,,,
MSFT,regression,1,ridge,ridge,1226,0.018562044685656844,0.017995772663758364,3.050698516721305,0.018562044685656844,0.01322098090879805,0.5163132137030995,0.017995772663758364,0.012792878263477758,0.48613376835236544,mse,-4.071047427665483,4.680221844033383e-05,2.3401109220222427e-05,1,0.00023401109220222427,,,,,,
NVDA,regression,1,ridge,ridge,1226,0.03313514584023694,0.03311602482641182,0.05770614053522397,0.03313514584023694,0.02445322346640025,0.5195758564437194,0.03311602482641182,0.024444394922498166,0.5236541598694943,mse,-0.19485397978949456,0.8455072623498425,0.42275363117492126,1,0.5284420389686516,,,,,,
PETR4.SA,regression,1,ridge,ridge,1220,0.020040033082296464,0.02008791238077261,-0.23891826066117738,0.020040033082296464,0.014496215304444712,0.5,0.02008791238077261,0.014548378472628775,0.49098360655737705,mse,0.6575435399632473,0.5108314845309898,0.7445842577345051,1,0.7445842577345051,,,,,,
SPY,regression,1,ridge,ridge,1226,0.011097247210288342,0.010980446525037081,1.0525194495349592,0.011097247210288342,0.007962121243315105,0.5073409461663948,0.010980446525037081,0.007780027565750754,0.5130505709624796,mse,-1.1636369608663828,0.24457116619867048,0.12228558309933518,1,0.250711145666685,,,,,,
VALE3.SA,regression,1,ridge,ridge,1219,0.01863475841751107,0.01856894536440293,0.3531736319494909,0.01863475841751107,0.01360217234579445,0.5102543068088597,0.01856894536440293,0.013606305369133551,0.5004101722723544,mse,-0.9326598834021875,0.35099560393335905,0.17549780196667952,1,0.250711145666685,,,,,,
WEGE3.SA,regression,1,ridge,ridge,1219,0.019082943155125813,0.019083771054793957,-0.004338427575945184,0.019082943155125813,0.01348603723140942,0.5020508613617719,0.019083771054793957,0.013534518471840716,0.5028712059064807,mse,0.010923712756328093,0.9912843115823107,0.5043578442088447,1,0.5603976046764941,,,,,,
AAPL,classification,1,logistic,logistic,1226,0.6980519828486674,0.6940239848648514,0.5770341010103934,,,,,,,log_loss,-2.5177327036298394,0.011811291846798966,0.005905645923399538,1,0.029528229616997692,0.6980519828486674,0.252404937985322,0.5089722675367048,0.6940239848648514,0.25043305923136383,0.5130505709624796
BOVA11.SA,classification,1,logistic,logistic,1218,0.6967299234728033,0.6933810490773936,0.48065603077838437,,,,,,,log_loss,-1.9291852181681335,0.05370787258226439,0.026853936291132252,1,0.06713484072783063,0.6967299234728033,0.25176133714428656,0.49589490968801314,0.6933810490773936,0.25011465649577025,0.5073891625615764
ITUB4.SA,classification,1,logistic,logistic,1220,0.7008491102682951,0.6956451250702411,0.742525762223173,,,,,,,log_loss,-1.5906722610673842,0.11168335270767438,0.05584167635383713,1,0.11168335270767427,0.7008491102682951,0.25381478630386883,0.5016393442622951,0.6956451250702411,0.2512415741228171,0.5081967213114754
JPM,classification,1,logistic,logistic,1225,0.6971475487027035,0.6927435493680263,0.6317169647763101,,,,,,,log_loss,-2.2909388282687653,0.02196695188012221,0.01098347594006116,1,0.03661158646687054,0.6971475487027035,0.25198142604759854,0.49142857142857144,0.6927435493680263,0.24978716841872808,0.5240816326530612
MSFT,classification,1,logistic,logistic,1226,0.7075282872396281,0.6950121160682842,1.7689994021546362,,,,,,,log_loss,-3.8231780985591803,0.00013174254947312392,6.587127473656196e-05,1,0.0006587127473656196,0.7075282872396281,0.2567575996909822,0.5040783034257749,0.6950121160682842,0.25091879394277317,0.49592169657422513
