task,horizon,region,level,rows,assets,local_primary,global_primary,global_improvement_vs_local_pct,global_win
classification,1,Brazil,region,6096,5,0.6954724650573602,0.6949413701206031,0.07636462454531075,True
classification,1,United States,region,6129,5,0.6986730798272694,0.693734774267504,0.7068120559312759,True
classification,5,Brazil,region,6091,5,0.6961580179865122,0.6942618244752267,0.2723797560746184,True
classification,5,United States,region,6129,5,0.6940817755631032,0.6845626571882767,1.3714692864689846,True
classification,10,Brazil,region,6091,5,0.6993168147173731,0.6971669141913442,0.3074286905138539,True
classification,10,United States,region,6129,5,0.6991432892105821,0.6861664116383812,1.8561112968492297,True
classification,20,Brazil,region,6091,5,0.7090547645023876,0.6940345691821803,2.1183406518322165,True
classification,20,United States,region,6129,5,0.7078996371123424,0.6852554532392185,3.1987845007936127,True
regression,1,Brazil,region,6096,5,0.017162028826256347,0.01713066868187415,0.1827298199978554,True
regression,1,United States,region,6129,5,0.020675405246572603,0.020514398232114203,0.7787369221461397,True
regression,5,Brazil,region,6091,5,0.03919982558145913,0.03884807069296448,0.8973378918834345,True
regression,5,United States,region,6129,5,0.0447082317556959,0.04431035624282192,0.8899379314488215,True
regression,10,Brazil,region,6091,5,0.05627986989821904,0.05564006405819862,1.1368289251156585,True
regression,10,United States,region,6129,5,0.06340325677362944,0.06305703096401136,0.5460694406507017,True
regression,20,Brazil,region,6091,5,0.08171697898571302,0.07973620730721209,2.4239413927027775,True
regression,20,United States,region,6129,5,0.09128116115313906,0.09068015285672405,0.6584143856438397,True
