task,horizon,fold,level,rows,assets,local_primary,global_primary,global_improvement_vs_local_pct,global_win
classification,5,1,fold,2438,10,0.7307438107430436,0.7080312064575097,3.1081487043234755,True
classification,5,2,fold,2434,10,0.6914545034218831,0.6948056677425668,-0.4846543487820839,False
classification,5,3,fold,2444,10,0.6903457450106371,0.6927448949751878,-0.3475287538005669,False
classification,5,4,fold,2445,10,0.6979067402943151,0.7012469288280058,-0.47860098503735243,False
classification,5,5,fold,2460,10,0.6977843596591145,0.696992111081634,0.11353773791483905,True
regression,5,1,fold,2438,10,0.052266604530777735,0.05108230333328784,2.2658850868961844,True
regression,5,2,fold,2434,10,0.04740508061049206,0.04717118707176687,0.4933933994269554,True
regression,5,3,fold,2444,10,0.037286503369346566,0.03692344781570542,0.9736916064369225,True
regression,5,4,fold,2445,10,0.04718010609865841,0.04559671862063623,3.356048998090745,True
regression,5,5,fold,2460,10,0.04849520617603805,0.04793282467304096,1.1596641139242485,True
