task,horizon,primary_metric,rows,assets,dates,local_primary,global_primary,global_improvement_vs_local_pct,date_hac_statistic,date_hac_pvalue_global_better,date_hac_lags,mean_date_clustered_loss_advantage,bootstrap_repetitions,bootstrap_block_length_dates,bootstrap_improvement_mean_pct,bootstrap_improvement_ci_low_pct,bootstrap_improvement_ci_high_pct,bootstrap_probability_global_better,analysis_status,primary_hac_qvalue,confirmed
classification,5,log_loss,12221,10,1260,0.701635723550235,0.6987607343256254,0.40975525163717846,1.003780268265842,0.1577422686088078,4,0.0029161356814809175,10000,5,0.41199691369853864,-0.3875962201896713,1.2214772548677448,0.838,locked_independent_scope_confirmation,0.1577422686088078,False
regression,5,rmse,12221,10,1260,0.0467901276015417,0.04598694642596462,1.7165611994411754,3.8231292151117047,6.588434060872395e-05,4,7.22001851766474e-05,10000,5,1.7151993105609071,0.9096291080817774,2.5647017951179647,1.0,locked_independent_scope_confirmation,0.0001317686812174479,True
